City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
18,Hilo,US,84.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
21,Saint George,US,91.4,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
32,Doha,QA,87.8,clear sky,25.29,51.53,Doha Marriott Hotel
34,Kapaa,US,86.0,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
35,Galveston,US,82.99,clear sky,29.37,-94.97,Comfort Inn & Suites Texas City
38,Banda Aceh,ID,80.76,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
39,Butaritari,KI,82.27,overcast clouds,3.07,172.79,Isles Sunset Lodge
41,Soure,BR,80.01,overcast clouds,-0.72,-48.52,Hotel Marajó
43,San Ignacio,BZ,82.4,broken clouds,17.16,-89.07,Rainforest Haven Inn
45,Cabo San Lucas,MX,84.99,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
46,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.08,Scoop Guest House
55,Galesong,ID,82.4,few clouds,-5.32,119.37,Sapriadi Appy
60,Lasem,ID,82.53,overcast clouds,-6.69,111.45,Kediaman Bpk Abdul Wakhid Bin Asmu'in
69,Cayenne,GF,80.6,clear sky,4.93,-52.33,Hôtel Le Dronmi
70,Umm Kaddadah,SD,86.49,scattered clouds,13.6,26.69,
89,Auki,SB,86.23,broken clouds,-8.77,160.7,Auki Motel
91,Puerto Escondido,MX,82.4,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
100,Keti Bandar,PK,80.92,clear sky,24.14,67.45,Haji laloo memon house
101,Bani,DO,80.01,overcast clouds,18.28,-70.33,Hospedaje Henriquez
105,San Patricio,MX,86.0,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
120,Aborlan,PH,80.6,scattered clouds,9.44,118.55,Kevina Transient House
125,Zhuhai,CN,82.4,scattered clouds,22.28,113.57,珠海粤财假日酒店
130,Lorengau,PG,81.64,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
141,Bandiagara,ML,82.4,overcast clouds,14.35,-3.61,Hotel de la Falaise
143,Laredo,US,93.2,clear sky,27.51,-99.51,La Quinta Inn by Wyndham Laredo I-35
144,Waingapu,ID,86.47,scattered clouds,-9.66,120.26,Pondok Wisata Elim
147,Yarada,IN,80.6,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
157,Manokwari,ID,84.13,clear sky,-0.87,134.08,Swiss Belhotel Manokwari
164,Adrar,MR,94.51,clear sky,20.5,-10.07,
170,Lazaro Cardenas,MX,80.35,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
185,Gigmoto,PH,86.5,overcast clouds,13.78,124.39,Cj's Travellers Inn
189,Cam Ranh,VN,80.6,broken clouds,11.92,109.16,OYO 598 Peony Hotel
190,Kirakira,SB,84.94,broken clouds,-10.45,161.92,SanBiz Lodge
194,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
203,Sierra Vista,US,89.6,clear sky,31.55,-110.3,Holiday Inn Express Sierra Vista
212,Gizo,SB,84.74,clear sky,-8.1,156.84,Imagination Island
213,Sabha,LY,80.8,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
215,Alyangula,AU,87.8,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
218,San Policarpo,PH,84.0,broken clouds,12.18,125.51,Zal-Ann Beach Resort
223,Port Hedland,AU,80.6,clear sky,-20.32,118.57,The Esplanade Hotel
226,Victoria,HK,82.0,overcast clouds,22.29,114.16,Mini Hotel Central
227,Tiarei,PF,86.0,few clouds,-17.53,-149.33,Le Rocher de Tahiti
228,Bilma,NE,83.61,scattered clouds,18.69,12.92,Expeditions Ténére voyages
239,Boa Vista,BR,87.8,few clouds,2.82,-60.67,Aipana Plaza Hotel
244,Singaraja,ID,84.76,broken clouds,-8.11,115.09,Puri Bagus Lovina Resort
264,Half Moon Bay,US,80.6,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
271,Lodwar,KE,81.46,clear sky,3.12,35.6,Turkwel Lodge
274,Simbahan,PH,83.97,overcast clouds,6.3,120.58,
277,Naze,JP,80.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
278,Ocala,US,84.2,clear sky,29.19,-82.14,Howard Johnson by Wyndham Ocala FL
