City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Cherskiy,RU,2020-09-27 00:36:55,68.75,161.3,42.35,69,0,19.66,clear sky
1,Ostrovnoy,RU,2020-09-27 00:36:56,68.05,39.51,42.39,87,100,14.2,overcast clouds
2,College,US,2020-09-27 00:36:56,64.86,-147.8,53.6,58,40,3.36,scattered clouds
3,Farafangana,MG,2020-09-27 00:36:56,-22.82,47.83,67.51,86,9,9.71,clear sky
4,Estelle,US,2020-09-27 00:36:56,29.85,-90.11,79.0,94,1,3.36,clear sky
5,Kodiak,US,2020-09-27 00:36:56,57.79,-152.41,51.8,76,20,8.05,few clouds
6,Vostok,RU,2020-09-27 00:36:57,46.49,135.88,52.7,57,1,5.88,clear sky
7,Waipawa,NZ,2020-09-27 00:36:57,-41.41,175.52,59.0,72,78,29.97,broken clouds
8,Carnarvon,AU,2020-09-27 00:36:57,-24.87,113.63,68.0,64,11,13.87,few clouds
9,New Norfolk,AU,2020-09-27 00:36:57,-42.78,147.06,52.0,65,77,3.0,broken clouds
10,Saldanha,ZA,2020-09-27 00:36:57,-33.01,17.94,42.8,75,18,1.12,few clouds
11,Ushuaia,AR,2020-09-27 00:32:00,-54.8,-68.3,35.6,93,40,16.11,shower rain
12,Punta Arenas,CL,2020-09-27 00:36:58,-53.15,-70.92,39.2,76,75,6.93,broken clouds
13,Murdochville,CA,2020-09-27 00:36:58,48.96,-65.5,55.89,89,100,13.31,overcast clouds
14,Port Alfred,ZA,2020-09-27 00:36:58,-33.59,26.89,52.48,63,2,15.55,clear sky
15,Castro,BR,2020-09-27 00:36:58,-24.79,-50.01,66.63,52,0,4.5,clear sky
16,Mataura,NZ,2020-09-27 00:36:59,-46.19,168.86,46.0,85,100,13.0,overcast clouds
17,East London,ZA,2020-09-27 00:36:59,-33.02,27.91,55.26,56,4,16.4,clear sky
18,Hilo,US,2020-09-27 00:27:07,19.73,-155.09,84.2,62,90,5.82,overcast clouds
19,Sosnogorsk,RU,2020-09-27 00:32:10,63.6,53.88,49.19,95,84,6.31,broken clouds
20,Tiksi,RU,2020-09-27 00:37:00,71.69,128.87,41.68,79,100,6.26,overcast clouds
21,Saint George,US,2020-09-27 00:35:17,37.1,-113.58,91.4,8,1,14.99,clear sky
22,Bengkulu,ID,2020-09-27 00:37:00,-3.8,102.27,77.45,83,93,5.86,overcast clouds
23,Yellowknife,CA,2020-09-27 00:37:01,62.46,-114.35,44.01,100,90,5.82,light rain
24,Hamilton,US,2020-09-27 00:36:45,39.18,-84.53,71.01,77,1,4.7,clear sky
25,Qaanaaq,GL,2020-09-27 00:32:55,77.48,-69.36,13.19,76,91,6.98,overcast clouds
26,Saint-Paul,RE,2020-09-27 00:37:01,-21.01,55.27,69.8,68,0,12.75,clear sky
27,Rikitea,PF,2020-09-27 00:26:27,-23.12,-134.97,74.55,83,0,14.25,clear sky
28,Kayerkan,RU,2020-09-27 00:37:01,69.35,87.76,42.8,93,75,24.61,light rain
29,Esperance,AU,2020-09-27 00:32:44,-33.87,121.9,57.2,93,75,12.75,broken clouds
30,Birjand,IR,2020-09-27 00:37:02,32.87,59.22,55.4,20,0,11.41,clear sky
31,Quatre Cocos,MU,2020-09-27 00:37:02,-20.21,57.76,68.0,88,75,3.36,broken clouds
32,Doha,QA,2020-09-27 00:36:31,25.29,51.53,87.8,70,0,6.93,clear sky
33,Chokurdakh,RU,2020-09-27 00:37:02,70.63,147.92,43.16,60,0,13.2,clear sky
34,Kapaa,US,2020-09-27 00:37:02,22.08,-159.32,86.0,58,1,11.41,clear sky
35,Galveston,US,2020-09-27 00:32:54,29.37,-94.97,82.99,65,1,9.17,clear sky
36,Sitka,US,2020-09-27 00:37:03,57.05,-135.33,57.2,71,75,6.93,broken clouds
37,Salalah,OM,2020-09-27 00:37:03,17.02,54.09,78.8,83,75,4.7,broken clouds
38,Banda Aceh,ID,2020-09-27 00:37:03,5.56,95.32,80.76,78,99,8.95,overcast clouds
39,Butaritari,KI,2020-09-27 00:27:10,3.07,172.79,82.27,74,98,10.58,overcast clouds
40,Grindavik,IS,2020-09-27 00:34:21,63.84,-22.43,44.6,93,75,11.41,broken clouds
41,Soure,BR,2020-09-27 00:37:04,-0.72,-48.52,80.01,79,90,12.44,overcast clouds
42,Bluff,NZ,2020-09-27 00:33:35,-46.6,168.33,46.0,85,100,13.0,overcast clouds
43,San Ignacio,BZ,2020-09-27 00:37:04,17.16,-89.07,82.4,88,75,4.7,broken clouds
44,Husavik,IS,2020-09-27 00:37:04,66.04,-17.34,50.0,71,100,13.87,overcast clouds
45,Cabo San Lucas,MX,2020-09-27 00:37:04,22.89,-109.91,84.99,74,20,6.93,few clouds
46,Hithadhoo,MV,2020-09-27 00:27:10,-0.6,73.08,82.33,68,96,4.5,overcast clouds
47,Provideniya,RU,2020-09-27 00:33:46,64.38,-173.3,37.24,73,66,10.94,broken clouds
48,Touros,BR,2020-09-27 00:37:05,-5.2,-35.46,75.2,83,20,6.93,few clouds
49,Tasiilaq,GL,2020-09-27 00:33:34,65.61,-37.64,34.47,91,100,3.56,overcast clouds
50,Arraial Do Cabo,BR,2020-09-27 00:36:07,-22.97,-42.03,73.17,87,0,22.26,clear sky
51,Grand Gaube,MU,2020-09-27 00:37:05,-20.01,57.66,68.0,82,28,3.0,light rain
52,Ribeira Grande,PT,2020-09-27 00:37:05,38.52,-28.7,70.23,88,95,10.42,light rain
53,Havelock,US,2020-09-27 00:34:42,34.88,-76.9,77.0,94,4,5.23,light rain
54,Faanui,PF,2020-09-27 00:37:06,-16.48,-151.75,78.93,78,87,12.86,overcast clouds
55,Galesong,ID,2020-09-27 00:37:06,-5.32,119.37,82.4,74,20,2.24,few clouds
56,Barrow,US,2020-09-27 00:37:06,71.29,-156.79,32.0,96,90,11.41,light snow
57,Souillac,MU,2020-09-27 00:37:06,-20.52,57.52,68.0,88,75,3.36,broken clouds
58,Hermanus,ZA,2020-09-27 00:37:06,-34.42,19.23,44.01,94,77,1.01,broken clouds
59,Kaitangata,NZ,2020-09-27 00:37:07,-46.28,169.85,51.01,60,44,15.99,scattered clouds
60,Lasem,ID,2020-09-27 00:37:07,-6.69,111.45,82.53,67,100,10.42,overcast clouds
61,Port Lincoln,AU,2020-09-27 00:36:06,-34.73,135.87,55.9,64,0,15.48,clear sky
62,Borazjan,IR,2020-09-27 00:37:07,29.27,51.22,75.99,42,0,2.06,clear sky
63,Khatanga,RU,2020-09-27 00:37:07,71.97,102.5,42.44,90,100,18.03,light rain
64,Mwense,ZM,2020-09-27 00:37:07,-10.38,28.7,65.32,69,0,3.36,clear sky
65,Puerto Ayora,EC,2020-09-27 00:37:08,-0.74,-90.35,69.01,87,27,4.0,scattered clouds
66,Pevek,RU,2020-09-27 00:37:08,69.7,170.31,36.66,92,80,9.95,broken clouds
67,Alburikent,RU,2020-09-27 00:37:08,42.97,47.47,66.2,88,20,6.71,few clouds
68,Ossora,RU,2020-09-27 00:37:08,59.24,163.07,47.93,65,88,7.47,overcast clouds
69,Cayenne,GF,2020-09-27 00:37:08,4.93,-52.33,80.6,83,0,2.24,clear sky
70,Umm Kaddadah,SD,2020-09-27 00:37:09,13.6,26.69,86.49,41,48,8.28,scattered clouds
71,Praya,CV,2020-09-27 00:37:09,14.92,-23.51,78.8,88,20,2.24,few clouds
72,Hailey,US,2020-09-27 00:37:09,43.52,-114.32,59.0,40,5,5.82,clear sky
73,Vangaindrano,MG,2020-09-27 00:37:09,-23.35,47.6,65.28,89,3,7.49,clear sky
74,Ginda,IN,2020-09-27 00:37:09,30.69,78.49,71.6,94,40,3.36,mist
75,Sisimiut,GL,2020-09-27 00:37:10,66.94,-53.67,34.16,89,100,8.95,overcast clouds
76,Jasper,US,2020-09-27 00:37:10,37.2,-94.35,79.0,57,1,16.11,clear sky
77,Albany,US,2020-09-27 00:35:31,42.6,-73.97,72.0,95,0,5.23,clear sky
78,Sterling,US,2020-09-27 00:36:47,39.01,-77.43,69.8,77,90,4.7,overcast clouds
79,Bethel,US,2020-09-27 00:33:03,41.37,-73.41,68.0,88,75,4.14,broken clouds
80,Mandalgovi,MN,2020-09-27 00:37:10,45.76,106.27,46.24,47,99,13.33,overcast clouds
81,Vaini,TO,2020-09-27 00:37:11,-21.2,-175.2,78.8,69,20,11.41,few clouds
82,Leningradskiy,RU,2020-09-27 00:37:11,69.38,178.42,33.35,94,100,9.13,overcast clouds
83,Mutsu,JP,2020-09-27 00:37:11,41.29,141.22,64.99,68,75,3.36,broken clouds
84,Petropavlovsk-Kamchatskiy,RU,2020-09-27 00:37:11,53.05,158.65,51.8,43,0,2.24,clear sky
85,Haines Junction,CA,2020-09-27 00:33:30,60.75,-137.51,45.73,78,100,5.97,light rain
86,Yulara,AU,2020-09-27 00:37:12,-25.24,130.99,68.0,20,0,13.87,clear sky
87,Ambilobe,MG,2020-09-27 00:33:13,-13.2,49.05,66.07,85,0,4.03,clear sky
88,Dikson,RU,2020-09-27 00:33:09,73.51,80.55,37.6,81,100,25.26,overcast clouds
89,Auki,SB,2020-09-27 00:37:12,-8.77,160.7,86.23,64,66,4.07,broken clouds
